日付,曜日,県全体,,最終更新日時,2020/6/8 18:15
2020/2/12,水,26,,,
2020/2/13,木,47,,,
2020/2/14,金,86,,,
2020/2/15,土,25,,,
2020/2/16,日,20,,,
2020/2/17,月,166,,,
2020/2/18,火,150,,,
2020/2/19,水,147,,,
2020/2/20,木,148,,,
2020/2/21,金,130,,,
2020/2/22,土,58,,,
2020/2/23,日,56,,,
2020/2/24,月,61,,,
2020/2/25,火,300,,,
2020/2/26,水,271,,,
2020/2/27,木,243,,,
2020/2/28,金,221,,,
2020/2/29,土,104,,,
2020/3/1,日,81,,,
2020/3/2,月,268,,,
2020/3/3,火,261,,,
2020/3/4,水,257,,,
2020/3/5,木,225,,,
2020/3/6,金,251,,,
2020/3/7,土,123,,,
2020/3/8,日,231,,,
2020/3/9,月,654,,,
2020/3/10,火,436,,,
2020/3/11,水,342,,,
2020/3/12,木,313,,,
2020/3/13,金,406,,,
2020/3/14,土,158,,,
2020/3/15,日,215,,,
2020/3/16,月,618,,,
2020/3/17,火,509,,,
2020/3/18,水,354,,,
2020/3/19,木,377,,,
2020/3/20,金,118,,,
2020/3/21,土,100,,,
2020/3/22,日,73,,,
2020/3/23,月,398,,,
2020/3/24,火,301,,,
2020/3/25,水,399,,,
2020/3/26,木,386,,,
2020/3/27,金,486,,,
2020/3/28,土,201,,,
2020/3/29,日,158,,,
2020/3/30,月,796,,,
2020/3/31,火,653,,,
2020/4/1,水,927,,,
2020/4/2,木,798,,,
2020/4/3,金,755,,,
2020/4/4,土,381,,,
2020/4/5,日,247,,,
2020/4/6,月,1104,,,
2020/4/7,火,806,,,
2020/4/8,水,832,,,
2020/4/9,木,773,,,
2020/4/10,金,851,,,
2020/4/11,土,412,,,
2020/4/12,日,470,,,
2020/4/13,月,1245,,,
2020/4/14,火,1028,,,
2020/4/15,水,953,,,
2020/4/16,木,951,,,
2020/4/17,金,910,,,
2020/4/18,土,484,,,
2020/4/19,日,464,,,
2020/4/20,月,1035,,,
2020/4/21,火,779,,,
2020/4/22,水,760,,,
2020/4/23,木,665,,,
2020/4/24,金,805,,,
2020/4/25,土,353,,,
2020/4/26,日,314,,,
2020/4/27,月,695,,,
2020/4/28,火,595,,,
2020/4/29,水,345,,,
2020/4/30,木,604,,,
2020/5/1,金,502,,,
2020/5/2,土,320,,,
2020/5/3,日,275,,,
2020/5/4,月,335,,,
2020/5/5,火,286,,,
2020/5/6,水,326,,,
2020/5/7,木,508,,,
2020/5/8,金,334,,,
2020/5/9,土,260,,,
2020/5/10,日,208,,,
2020/5/11,月,421,,,
2020/5/12,火,278,,,
2020/5/13,水,317,,,
2020/5/14,木,317,,,
2020/5/15,金,260,,,
2020/5/16,土,164,,,
2020/5/17,日,98,,,
2020/5/18,月,328,,,
2020/5/19,火,190,,,
2020/5/20,水,179,,,
2020/5/21,木,138,,,
2020/5/22,金,156,,,
2020/5/23,土,131,,,
2020/5/24,日,110,,,
2020/5/25,月,241,,,
2020/5/26,火,171,,,
2020/5/27,水,166,,,
2020/5/28,木,146,,,
2020/5/29,金,166,,,
2020/5/30,土,146,,,
2020/5/31,日,105,,,
2020/6/1,月,204,,,
2020/6/2,火,203,,,
2020/6/3,水,205,,,
2020/6/4,木,229,,,
2020/6/5,金,225,,,
2020/6/6,土,168,,,
2020/6/7,日,141,,,
